id_riga,fase,strato,esito_lessico,esito_ricalcolato,combacia,occorrenze,macrotema_r1,macrotema_secondario_r1,macrotema_r2,macrotema_secondario_r2,accordo_esatto,accordo_largo,policy_r1,policy_r2,lessico_ok_generoso,falso_positivo_lessico,titolo
V033,indipendente,stratificato:Diritti civili e società,Diritti civili e società,Diritti civili e società,True,1,non politico,nan,politica non tematica,nan,False,False,no,no,False,True,"Morte di Umberto Bossi, l’ultimo saluto al Senatùr domenica a Pontida tra la sua gente | Varese7Press"
V034,indipendente,non_assegnato,non assegnato,non assegnato,True,0,non politico,nan,non politico,nan,True,True,no,no,False,False,La âgiornata perfettaâ del Lago Maggiore con lâarrivo del Giro dâItalia - La Stampa
V035,indipendente,stratificato:Ambiente ed energia,Ambiente ed energia,Ambiente ed energia,True,1,non politico,nan,Infrastrutture e territorio,Ambiente ed energia,False,False,no,si,True,False,Ponte sullo Stretto: PresaDiretta Open esamina costi e impatto a Rai 3
V036,indipendente,stratificato:Cultura e patrimonio,Cultura e patrimonio,Cultura e patrimonio,True,3,non politico,nan,non politico,nan,True,True,no,no,False,True,L’ego da Guinness che copre pure il talento — La Verità
V037,indipendente,non_assegnato,non assegnato,non assegnato,True,0,politica non tematica,Istituzioni e assetto dello Stato,Istituzioni e assetto dello Stato,nan,False,True,no,si,False,False,Tajani: «Con il “sì” è garantito più equilibrio. Molti magistrati voteranno così»
V038,indipendente,non_assegnato,non assegnato,non assegnato,True,0,dubbio,nan,politica non tematica,nan,False,False,,no,False,False,L’impronta francese nel cortile africano: il Franco Cfa - L'Opinione
V039,indipendente,stratificato:Istituzioni e assetto dello Stato,Istituzioni e assetto dello Stato,Istituzioni e assetto dello Stato,True,1,politica non tematica,Istituzioni e assetto dello Stato,politica non tematica,nan,True,True,no,no,True,True,"Conte, venerdì a Roma evento M5S per il no al referendum - Ultima ora - Ansa.it"
V040,indipendente,non_assegnato,non assegnato,non assegnato,True,0,non politico,Cultura e patrimonio,politica non tematica,nan,False,False,no,no,False,False,"Angelo con il volto di Meloni, il cardinale Reina: âNon si puÃ² strumentalizzare lâarte sacraâ - la Repubblica"
V041,indipendente,casuale,Sanità,Sanità,True,1,non politico,Ambiente ed energia,boilerplate,nan,False,False,no,no,False,True,Rassegna stampa 20-02-2026 edizioni Calabria - Gazzetta del Sud
V042,indipendente,stratificato:Diritti civili e società,Diritti civili e società,Diritti civili e società,True,1,non politico,Sicurezza e criminalità,politica non tematica,nan,False,False,no,no,False,True,"Moretti scarcerato, protesta il governo: un oltraggio - la Repubblica"
V043,indipendente,stratificato:Welfare e pensioni,Welfare e pensioni,Welfare e pensioni,True,0,Diritti civili e società,Infrastrutture e territorio,Welfare e pensioni,nan,False,False,si,si,True,False,Emergenza abitativa. Oltre duemila richieste ancora in stand-by. E 515 nuclei in povertà
V044,indipendente,stratificato:Sicurezza e criminalità,Sicurezza e criminalità,Sicurezza e criminalità,True,2,Cultura e patrimonio,nan,Diritti civili e società,nan,False,False,si,si,False,False,"Terrorismo, La Russa: ""Pericolo sempre in agguato. Aldo Moro? La sua morte una delle pagine più buie della democrazia"""
V045,indipendente,non_assegnato,non assegnato,non assegnato,True,0,Unione europea,Politica estera e difesa,Politica estera e difesa,nan,False,True,si,si,False,False,Avanti ma non tutta con Macron - La Stampa
V046,indipendente,casuale,non assegnato,non assegnato,True,0,non politico,nan,politica non tematica,nan,False,False,no,no,False,False,prof e neomamma chiede di rinviare il corso di abilitazione: il caso lo risolve il ministero
V047,indipendente,stratificato:Infrastrutture e territorio,Infrastrutture e territorio,Infrastrutture e territorio,True,4,Infrastrutture e territorio,Diritti civili e società,Infrastrutture e territorio,nan,True,True,si,si,True,False,"To-Mi, i binari dello scontento: oltre 7 mila firme contro i disservizi - La Stampa"
V048,indipendente,stratificato:Unione europea,Unione europea,Unione europea,True,1,Sanità,Economia e finanza pubblica,Welfare e pensioni,Diritti civili e società,False,False,si,si,False,False,"Inselvini (FdI), 'Ue affronti inverno demografico, a maggio conferenza a Roma' - Altre news - Ansa.it"
V049,indipendente,casuale,Sicurezza e criminalità,Sicurezza e criminalità,True,2,Sicurezza e criminalità,nan,non politico,nan,False,False,si,no,True,False,"Vandali e furti, nasce il gruppo per avvisare. ""Un’escalation"""
V050,indipendente,non_assegnato,non assegnato,non assegnato,True,0,Politica estera e difesa,nan,Politica estera e difesa,nan,True,True,si,si,False,False,"Meloni in Giappone, la premier posta foto con Takaichi stile manga e riceve in dono mascotte dell'Expo. «Amicizia e sintonia»"
V051,indipendente,stratificato:Politica estera e difesa,Politica estera e difesa,Politica estera e difesa,True,1,politica non tematica,nan,politica non tematica,nan,True,True,no,no,False,True,"Vannacci su Salvini: ""È lui il traditore, è in posizione prona"""
V052,indipendente,stratificato:Ambiente ed energia,Ambiente ed energia,Ambiente ed energia,True,2,Economia e finanza pubblica,nan,Politica estera e difesa,Ambiente ed energia,False,False,si,si,True,False,Meloni stoppa Crosetto sulle spese per le armi: «La priorità ora sono i fondi per il caro energia»
V053,indipendente,stratificato:Lavoro e imprese,Lavoro e imprese,Lavoro e imprese,True,1,Infrastrutture e territorio,nan,Infrastrutture e territorio,nan,True,True,si,si,False,False,"A14, disagi infiniti: la galleria Vinci chiude per lavori dopo l'incendio. Saranno 212 giorni di passione in autostrada"
V054,indipendente,non_assegnato,non assegnato,non assegnato,True,0,politica non tematica,nan,politica non tematica,nan,True,True,no,no,False,False,Grillo torna e attacca: “Persa identità M5s”. Conte: ‘Per lui Draghi era grillino…’
V055,indipendente,casuale,Istruzione e ricerca,Istruzione e ricerca,True,2,Istruzione e ricerca,Economia e finanza pubblica,nan,nan,False,False,si,si,True,False,"IGE 2026, a Roma il confronto sul futuro del gaming tra sfide del mercato, ricerca e nuove regole - il Giornale"
V056,indipendente,stratificato:Sport,Sport,Sport,True,1,dubbio,nan,boilerplate,nan,False,False,,no,False,False,Dal Sant’Elia al Gigi Riva: confronto tra istituzioni e società rossoblù alla ex Manifattura Tabacchi
V057,indipendente,stratificato:Sport,Sport,Sport,True,1,non politico,nan,non politico,nan,True,True,no,no,False,True,Leal denuncia per i cani morti al World Dog Show | Giornale di Brescia
V058,indipendente,stratificato:Sanità,Sanità,Sanità,True,2,Cultura e patrimonio,nan,boilerplate,nan,False,False,si,no,False,False,La destra feudale sorveglia e punisce i giornali | il manifesto
V059,indipendente,casuale,politica non tematica,politica non tematica,True,0,politica non tematica,nan,politica non tematica,nan,True,True,no,no,True,True,Conte: “Meloni ha fallito. Risorse da banche e armi. Primarie a tempo debito” - la Repubblica
V060,indipendente,stratificato:Immigrazione e cittadinanza,Immigrazione e cittadinanza,Immigrazione e cittadinanza,True,1,Sicurezza e criminalità,Immigrazione e cittadinanza,non politico,nan,False,False,si,no,True,False,Clochard dorme all’asilo: una dada lo trova in aula. Paura e rabbia tra i genitori
V061,indipendente,casuale,Istituzioni e assetto dello Stato,Istituzioni e assetto dello Stato,True,1,politica non tematica,nan,politica non tematica,nan,True,True,no,no,False,True,Mastella scuote il Campo Largo - Il Roma
V062,indipendente,stratificato:Sicurezza e criminalità,Sicurezza e criminalità,Sicurezza e criminalità,True,2,politica non tematica,nan,nan,nan,False,True,no,si,False,False,Meloni a Reggio Calabria per il 212^ Annuale della Fondazione dei Carabinieri
V063,indipendente,casuale,Lavoro e imprese,Lavoro e imprese,True,1,Politica estera e difesa,Lavoro e imprese,Politica estera e difesa,nan,True,True,si,si,True,False,"Stretto di Hormuz, con il blocco a rischio 30 mila marittimi. Gli armatori: «Intervenga la Marina»"
V064,indipendente,stratificato:Welfare e pensioni,Welfare e pensioni,Welfare e pensioni,True,1,politica non tematica,nan,politica non tematica,nan,True,True,no,no,False,True,"Morte di Umberto Bossi, ricordi e divisioni nella Lega in Piemonte - La Stampa"
V065,indipendente,stratificato:Lavoro e imprese,Lavoro e imprese,Lavoro e imprese,True,1,Sicurezza e criminalità,Istituzioni e assetto dello Stato,Sicurezza e criminalità,nan,True,True,si,si,False,False,"Il Quirinale chiede modifiche su scudo e fermo preventivo, Palazzo Chigi al lavoro - Notizie - Ansa.it"
V066,indipendente,stratificato:Economia e finanza pubblica,Economia e finanza pubblica,Economia e finanza pubblica,True,3,Economia e finanza pubblica,nan,Economia e finanza pubblica,nan,True,True,si,si,True,False,"Modello 730, novità e scadenze da rispettare: dalla nuova dichiarazione alla stretta sui bonus"
V067,indipendente,stratificato:Unione europea,Unione europea,Unione europea,True,3,Unione europea,Politica estera e difesa,Unione europea,Politica estera e difesa,True,True,si,si,True,False,"Ue, l'Europa si allarga a Est e sfida Putin: il piano per blindare i Balcani, porte aperte al Montenegro – Il Tempo"
V068,indipendente,stratificato:Istituzioni e assetto dello Stato,Istituzioni e assetto dello Stato,Istituzioni e assetto dello Stato,True,2,Politica estera e difesa,Istituzioni e assetto dello Stato,Politica estera e difesa,nan,True,True,si,si,True,False,"Tajani ""Abusi a Minneapolis, c'è differenza tra arrestare una persona armata e ucciderla"""
V069,indipendente,casuale,Istruzione e ricerca,Istruzione e ricerca,True,2,Sanità,nan,politica non tematica,nan,False,False,si,no,False,False,"Da Kedrion agli studi con Sanofi, il conflitto d’interessi della Pd Zambito - il Giornale"
V070,indipendente,non_assegnato,non assegnato,non assegnato,True,0,dubbio,nan,Cultura e patrimonio,Diritti civili e società,False,False,,si,False,False,Buttafuoco: Biennale libera e audace come dice Mattarella
V071,indipendente,casuale,Istituzioni e assetto dello Stato,Istituzioni e assetto dello Stato,True,3,Diritti civili e società,nan,Diritti civili e società,nan,True,True,si,si,False,False,"Pro Vita, sen. Malan: ""Garantire a tutti libertà di espressione, come insegna Costituzione"" – Il Tempo"
V072,indipendente,stratificato:Istruzione e ricerca,Istruzione e ricerca,Istruzione e ricerca,True,4,non politico,nan,politica non tematica,nan,False,False,no,no,False,True,"E' morta Valeria Fedeli, ex ministra dell'Istruzione - Notizie - Ansa.it"
V073,indipendente,stratificato:Diritti civili e società,Diritti civili e società,Diritti civili e società,True,1,Infrastrutture e territorio,nan,nan,nan,False,True,si,si,False,False,Il parere dei geologi: a Niscemi fragilitÃ  'nota'
V074,indipendente,casuale,Unione europea,Unione europea,True,1,Immigrazione e cittadinanza,Unione europea,Immigrazione e cittadinanza,Unione europea,True,True,si,si,True,False,"Tarquinio (Pd), 'Patto migrazione Ue produce mostruosità, non sicurezza' - La voce degli Eurodeputati - Ansa.it"
V075,indipendente,non_assegnato,non assegnato,non assegnato,True,0,politica non tematica,nan,Diritti civili e società,Cultura e patrimonio,False,False,no,si,False,False,"25 aprile, Mattarella: «Pace diritto di ogni popolo. Questo il senso della Resistenza» - Il Roma"
V076,indipendente,stratificato:Cultura e patrimonio,Cultura e patrimonio,Cultura e patrimonio,True,2,Cultura e patrimonio,nan,Cultura e patrimonio,nan,True,True,si,si,True,False,"Primo Piano Calabria, il cinema incontra il territorio: Fabrizio Maria Cortese e Vincent Riotta protagonisti della prima rassegna di cineturismo"
V077,indipendente,non_assegnato,non assegnato,non assegnato,True,0,politica non tematica,nan,politica non tematica,nan,True,True,no,no,False,False,Fontana commemora Umberto Bossi in Consiglio: «È stato un visionario che ha dato voce al Nord»
V078,indipendente,casuale,Infrastrutture e territorio,Infrastrutture e territorio,True,1,politica non tematica,nan,Sicurezza e criminalità,nan,False,False,no,si,False,False,"Le opposizioni presentano la mozione sfiducia su Santanchè, 'si discuta subito' - Ultima ora - Ansa.it"
V079,indipendente,non_assegnato,non assegnato,non assegnato,True,0,non politico,nan,Politica estera e difesa,nan,False,False,no,si,False,False,"L'Ice minaccia due giornalisti Rai a Minneapolis. Il video: ""Spaccheremo il finestrino e vi tireremo fuori dall'auto"""
V080,indipendente,non_assegnato,non assegnato,non assegnato,True,0,politica non tematica,nan,politica non tematica,nan,True,True,no,no,False,False,"Comune di Matera: Pd, Matera non si governa senza progetto e maggioranza politica - Notizie - Ansa.it"
V081,indipendente,stratificato:Istruzione e ricerca,Istruzione e ricerca,Istruzione e ricerca,True,2,non politico,nan,politica non tematica,nan,False,False,no,no,False,True,"Morto Luigi Nicolais, ex ministro ed ex presidente del Cnr - Il Sole 24 ORE"
V082,indipendente,stratificato:Lavoro e imprese,Lavoro e imprese,Lavoro e imprese,True,2,Economia e finanza pubblica,Lavoro e imprese,nan,nan,False,False,si,si,True,False,"Francesco Boccia: «Il governo è allo sbando, a pagare sono le famiglie e le imprese» - Gazzetta del Mezzogiorno"
V083,indipendente,stratificato:Ambiente ed energia,Ambiente ed energia,Ambiente ed energia,True,1,non politico,Ambiente ed energia,politica non tematica,nan,False,False,no,no,True,True,"Addio a Gianni Mattioli, fondatore delle Liste Verdi. Bonelli: âCondusse la battaglia antinucleareâ - La Stampa"
V084,indipendente,stratificato:Lavoro e imprese,Lavoro e imprese,Lavoro e imprese,True,2,Politica estera e difesa,nan,Politica estera e difesa,nan,True,True,si,si,False,False,Tajani a Washington per riunione Board of Peace: Lavoriamo per la pace – Il Tempo
V085,indipendente,stratificato:Sport,Sport,Sport,True,1,Sport,nan,nan,nan,False,True,si,si,True,False,"Chiara Pellacani: ""Cinque ori agli Europei, poi la telefonata di Giorgia Meloni"". L'intervista alla regina azzurra dei tuffi"
V086,indipendente,casuale,Sanità,Sanità,True,4,non politico,nan,non politico,nan,True,True,no,no,False,True,Domani presentazione del medico
V087,indipendente,stratificato:Infrastrutture e territorio,Infrastrutture e territorio,Infrastrutture e territorio,True,2,Politica estera e difesa,nan,Politica estera e difesa,nan,True,True,si,si,False,False,"Meloni, da Rutte entusiastica ricostruzione confusionaria, serve prudenza - Ultima ora - Ansa.it"
V088,indipendente,non_assegnato,non assegnato,non assegnato,True,0,Infrastrutture e territorio,nan,Infrastrutture e territorio,nan,True,True,si,si,False,False,Valnerina tra erba alta e marciapiedi “inagibili“. Il circolo del Pd bacchetta Comune e Anas
V089,indipendente,casuale,boilerplate,Istituzioni e assetto dello Stato,False,0,dubbio,nan,boilerplate,nan,False,False,,no,True,False,Conte: Nome del fronte progressista dovrebbe essere 'Alleanza per la Costituzione' – Il Tempo
V090,indipendente,casuale,Sicurezza e criminalità,Sicurezza e criminalità,True,3,non politico,nan,Sicurezza e criminalità,Diritti civili e società,False,False,no,si,True,False,"La bufala di Sigfrido. Quando Ranucci evocava camorra, politica e deep state. E ieri il bis – Il Tempo"
V091,indipendente,casuale,Istituzioni e assetto dello Stato,Istituzioni e assetto dello Stato,True,1,Sicurezza e criminalità,nan,Sicurezza e criminalità,nan,True,True,si,si,False,False,"Conte ""Commissione Antimafia evita approfondimenti su stragi '92-'93"" Agenzia di stampa Italpress - Italpress"
V092,indipendente,casuale,Sport,Sport,True,3,Sport,nan,non politico,nan,False,False,si,no,True,False,"Calcio, Trofeo D’Alterio: decima edizione per il Mundialito Under 12"
V093,indipendente,non_assegnato,non assegnato,non assegnato,True,0,politica non tematica,nan,politica non tematica,nan,True,True,no,no,False,False,"Controcorrente, anche De Leo aderisce al movimento - Notizie - Ansa.it"
V094,indipendente,stratificato:Sanità,Sanità,Sanità,True,3,non politico,nan,non politico,nan,True,True,no,no,False,True,"Crans Montana, il padre di Trystan: «Le vittime risarcite con 10mila franchi, per le cure chiesto 10 volte tanto»"
V095,indipendente,stratificato:Istituzioni e assetto dello Stato,Istituzioni e assetto dello Stato,Istituzioni e assetto dello Stato,True,3,politica non tematica,nan,Istituzioni e assetto dello Stato,nan,False,False,no,si,True,False,"A Taranto rinnovo del consiglio provinciale, oggi al voto i 27 Comuni: urne aperte fino alle 20 - Gazzetta del Mezzogiorno"
V096,indipendente,stratificato:Ambiente ed energia,Ambiente ed energia,Ambiente ed energia,True,3,Economia e finanza pubblica,Ambiente ed energia,Ambiente ed energia,Economia e finanza pubblica,False,True,si,si,True,False,Sul diesel sconto da 17 cent fino al 6 agosto - Norme e Istituzioni - Ansa.it
V097,indipendente,stratificato:Infrastrutture e territorio,Infrastrutture e territorio,Infrastrutture e territorio,True,3,Economia e finanza pubblica,Infrastrutture e territorio,Infrastrutture e territorio,nan,False,True,si,si,True,False,Confedilizia si riunisce: tra Piano Casa e novità - L'Opinione
V098,indipendente,stratificato:Sicurezza e criminalità,Sicurezza e criminalità,Sicurezza e criminalità,True,4,Politica estera e difesa,Sicurezza e criminalità,Sicurezza e criminalità,Politica estera e difesa,False,True,si,si,True,False,"Sicurezza, Piantedosi: no rischio terrorismo ma massima allerta"
V099,indipendente,stratificato:Unione europea,Unione europea,Unione europea,True,3,Unione europea,Sicurezza e criminalità,Politica estera e difesa,Unione europea,False,True,si,si,True,False,"Ue, i Pasdaran sono terroristi. Tajani: "" Raggiunto consenso politico"" – Il Tempo"
V100,indipendente,stratificato:Istruzione e ricerca,Istruzione e ricerca,Istruzione e ricerca,True,2,Diritti civili e società,nan,boilerplate,nan,False,False,si,no,False,False,"Scontri a Torino, Piantedosi: Falso che Governo Meloni stretta libertà manifestare, cortei aumentati – Il Tempo"
